id,calling_code,capital_city,code_2,code_3,continent_id,currency_id,flag,name
gp,590,巴斯特尔,gp,glp,na,eur,🇬🇵,瓜德罗普
gq,240,马拉博,gq,gnq,af,xaf,🇬🇶,赤道几内亚
gr,30,雅典,gr,grc,eu,eur,🇬🇷,希腊
gs,500,格里特维肯,gs,sgs,an,gbp,🇬🇸,南乔治亚和南桑威奇群岛
gt,502,危地马拉城,gt,gtm,na,gtq,🇬🇹,危地马拉
gu,1671,哈加特纳,gu,gum,oc,usd,🇬🇺,关岛
gw,245,比绍,gw,gnb,af,xof,🇬🇼,几内亚比绍
gy,592,乔治敦,gy,guy,sa,gyd,🇬🇾,圭亚那
hk,852,香港,hk,hkg,as,hkd,🇭🇰,香港
hm,672,,hm,hmd,oc,,🇦🇺,赫德岛和麦克唐纳群岛
hn,504,特古西加尔巴,hn,hnd,na,hnl,🇭🇳,洪都拉斯
hr,385,萨格勒布,hr,hrv,eu,hrk,🇭🇷,克罗地亚
ht,509,太子港,ht,hti,na,htg,🇭🇹,海地
hu,36,布达佩斯,hu,hun,eu,huf,🇭🇺,匈牙利
id,62,雅加达,id,idn,as,idr,🇮🇩,印度尼西亚
ie,353,都柏林,ie,irl,eu,eur,🇮🇪,爱尔兰
il,972,耶路撒冷,il,isr,as,ils,🇮🇱,以色列
im,44,道格拉斯,im,imn,eu,gbp,🇮🇲,马恩岛
in,91,新德里,in,ind,as,inr,🇮🇳,印度
io,246,迭戈加西亚,io,iot,as,usd,🇮🇴,英属印度洋领地
iq,964,巴格达,iq,irq,as,iqd,🇮🇶,伊拉克
ir,98,德黑兰,ir,irn,as,irr,🇮🇷,伊朗
is,354,雷克雅未克,is,isl,eu,isk,🇮🇸,冰岛
it,39,罗马,it,ita,eu,eur,🇮🇹,意大利
je,44,圣赫利尔,je,jey,eu,gbp,🇯🇪,泽西岛
jm,1876,金斯敦,jm,jam,na,jmd,🇯🇲,牙买加
jo,962,安曼,jo,jor,as,jod,🇯🇴,约旦
jp,81,东京,jp,jpn,as,jpy,🇯🇵,日本
ke,254,内罗毕,ke,ken,af,kes,🇰🇪,肯尼亚
kg,996,比什凯克,kg,kgz,as,kgs,🇰🇬,吉尔吉斯斯坦
kh,855,金边,kh,khm,as,khr,🇰🇭,柬埔寨
ki,686,塔拉瓦,ki,kir,oc,aud,🇰🇮,基里巴斯
km,269,莫罗尼,km,com,af,kmf,🇰🇲,科摩罗
kn,1869,巴斯特尔,kn,kna,na,xcd,🇰🇳,圣基茨和尼维斯
kp,850,平壤,kp,prk,as,kpw,🇰🇵,朝鲜
kr,82,首尔,kr,kor,as,krw,🇰🇷,韩国
kw,965,科威特城,kw,kwt,as,kwd,🇰🇼,科威特
ky,1345,乔治城,ky,cym,na,kyd,🇰🇾,开曼群岛
kz,7,努尔苏丹,kz,kaz,as,kzt,🇰🇿,哈萨克斯坦
la,856,万象,la,lao,as,lak,🇱🇦,老挝
lb,961,贝鲁特,lb,lbn,as,lbp,🇱🇧,黎巴嫩
lc,1758,卡斯特里,lc,lca,na,xcd,🇱🇨,圣卢西亚
li,423,瓦杜兹,li,lie,eu,chf,🇱🇮,列支敦士登
lk,94,科伦坡,lk,lka,as,lkr,🇱🇰,斯里兰卡
lr,231,蒙罗维亚,lr,lbr,af,lrd,🇱🇷,利比里亚
ls,266,马塞卢,ls,lso,af,lsl,🇱🇸,莱索托
lt,370,维尔纽斯,lt,ltu,eu,ltl,🇱🇹,立陶宛
lu,352,卢森堡,lu,lux,eu,eur,🇱🇺,卢森堡
lv,371,里加,lv,lva,eu,eur,🇱🇻,拉脱维亚
ly,218,的黎波里,ly,lby,af,lyd,🇱🇾,利比亚
ma,212,拉巴特,ma,mar,af,mad,🇲🇦,摩洛哥
mc,377,摩纳哥,mc,mco,eu,eur,🇲🇨,摩纳哥
md,373,基希讷乌,md,mda,eu,mdl,🇲🇩,摩尔多瓦
me,382,波德戈里察,me,mne,eu,eur,🇲🇪,黑山
mf,590,马里戈特,mf,maf,na,eur,🇲🇫,圣马丁
mg,261,塔那那利佛,mg,mdg,af,mga,🇲🇬,马达加斯加
mh,692,马朱罗,mh,mhl,oc,usd,🇲🇭,马绍尔群岛
mk,389,斯科普里,mk,mkd,eu,mkd,🇲🇰,北马其顿
ml,223,巴马科,ml,mli,af,xof,🇲🇱,马里
mm,95,内比都,mm,mmr,as,mmk,🇲🇲,缅甸
mn,976,乌兰巴托,mn,mng,as,mnt,🇲🇳,蒙古
mo,853,澳门,mo,mac,as,mop,🇲🇴,澳门
mp,1670,塞班,mp,mnp,oc,usd,🇲🇵,北马里亚纳群岛
mq,596,法兰西堡,mq,mtq,na,eur,🇲🇶,马提尼克
mr,222,努瓦克肖特,mr,mrt,af,mro,🇲🇷,毛里塔尼亚
ms,1664,普利茅斯,ms,msr,na,xcd,🇲🇸,蒙特塞拉特
mt,356,瓦莱塔,mt,mlt,eu,eur,🇲🇹,马耳他
mu,230,路易港,mu,mus,af,mur,🇲🇺,毛里求斯
mv,960,马累,mv,mdv,as,mvr,🇲🇻,马尔代夫
mw,265,利隆圭,mw,mwi,af,mwk,🇲🇼,马拉维
mx,52,墨西哥城,mx,mex,na,mxn,🇲🇽,墨西哥
my,60,吉隆坡,my,mys,as,myr,🇲🇾,马来西亚
mz,258,马普托,mz,moz,af,mzn,🇲🇿,莫桑比克
na,264,温得和克,na,nam,af,nad,🇳🇦,纳米比亚
nc,687,努美阿,nc,ncl,oc,xpf,🇳🇨,新喀里多尼亚
ne,227,尼亚美,ne,ner,af,xof,🇳🇪,尼日尔
nf,672,金斯敦,nf,nfk,oc,aud,🇳🇫,诺福克岛
ng,234,阿布贾,ng,nga,af,ngn,🇳🇬,尼日利亚
ni,505,马那瓜,ni,nic,na,nio,🇳🇮,尼加拉瓜
nl,31,阿姆斯特丹,nl,nld,eu,eur,🇳🇱,荷兰
no,47,奥斯陆,no,nor,eu,nok,🇳🇴,挪威
np,977,加德满都,np,npl,as,npr,🇳🇵,尼泊尔
nr,674,亚伦,nr,nru,oc,aud,🇳🇷,瑙鲁
nu,683,阿洛菲,nu,niu,oc,nzd,🇳🇺,纽埃
nz,64,惠灵顿,nz,nzl,oc,nzd,🇳🇿,新西兰
om,968,马斯喀特,om,omn,as,omr,🇴🇲,阿曼
pa,507,巴拿马城,pa,pan,na,pab,🇵🇦,巴拿马
pe,51,利马,pe,per,sa,pen,🇵🇪,秘鲁
pf,689,帕皮提,pf,pyf,oc,xpf,🇵🇫,法属波利尼西亚
pg,675,莫尔兹比港,pg,png,oc,pgk,🇵🇬,巴布亚新几内亚
ph,63,马尼拉,ph,phl,as,php,🇵🇭,菲律宾
pk,92,伊斯兰堡,pk,pak,as,pkr,🇵🇰,巴基斯坦
pl,48,华沙,pl,pol,eu,pln,🇵🇱,波兰
pm,508,圣皮埃尔,pm,spm,na,eur,🇵🇲,圣皮埃尔和密克隆
pn,870,亚当斯敦,pn,pcn,oc,nzd,🇵🇳,皮特凯恩群岛
pr,1787,圣胡安,pr,pri,na,usd,🇵🇷,波多黎各
ps,970,东耶路撒冷,ps,pse,as,ils,🇵🇸,巴勒斯坦领土
pt,351,里斯本,pt,prt,eu,eur,🇵🇹,葡萄牙
pw,680,梅莱凯奥克,pw,plw,oc,usd,🇵🇼,帕劳
py,595,亚松森,py,pry,sa,pyg,🇵🇾,巴拉圭
qa,974,多哈,qa,qat,as,qar,🇶🇦,卡塔尔
re,262,圣丹尼,re,reu,af,eur,🇷🇪,留尼汪
ro,40,布加勒斯特,ro,rou,eu,ron,🇷🇴,罗马尼亚
rs,381,贝尔格莱德,rs,srb,eu,rsd,🇷🇸,塞尔维亚
ru,7,莫斯科,ru,rus,eu,rub,🇷🇺,俄罗斯
rw,250,基加利,rw,rwa,af,rwf,🇷🇼,卢旺达
sa,966,利雅得,sa,sau,as,sar,🇸🇦,沙特阿拉伯
sb,677,霍尼亚拉,sb,slb,oc,sbd,🇸🇧,所罗门群岛
sc,248,维多利亚,sc,syc,af,scr,🇸🇨,塞舌尔
sd,249,喀土穆,sd,sdn,af,sdg,🇸🇩,苏丹
se,46,斯德哥尔摩,se,swe,eu,sek,🇸🇪,瑞典
sg,65,新加坡,sg,sgp,as,sgd,🇸🇬,新加坡
sh,290,詹姆斯敦,sh,shn,af,shp,🇸🇭,圣赫勒拿
si,386,卢布尔雅那,si,svn,eu,eur,🇸🇮,斯洛文尼亚
sj,47,朗伊尔城,sj,sjm,eu,nok,🇸🇯,斯瓦尔巴和扬马延
sk,421,布拉迪斯拉发,sk,svk,eu,eur,🇸🇰,斯洛伐克
sl,232,弗里敦,sl,sle,af,sll,🇸🇱,塞拉利昂
sm,378,圣马力诺,sm,smr,eu,eur,🇸🇲,圣马力诺
sn,221,达喀尔,sn,sen,af,xof,🇸🇳,塞内加尔
so,252,摩加迪沙,so,som,af,sos,🇸🇴,索马里
sr,597,帕拉马里博,sr,sur,sa,srd,🇸🇷,苏里南
ss,211,朱巴,ss,ssd,af,ssp,🇸🇸,南苏丹
st,239,圣多美,st,stp,af,std,🇸🇹,圣多美和普林西比
sv,503,圣萨尔瓦多,sv,slv,na,usd,🇸🇻,萨尔瓦多
sx,599,菲利普斯堡,sx,sxm,na,ang,🇸🇽,荷属圣马丁
